,FID,Field1,FID_,Join_Count,TARGET_FID,TMK,EFFLUENT,X,Y,Uid,Grid_ID,Grid_ID_X,Grid_ID_Y,Starts_ID,Flikr_ID,Flikr_X,Flikr_Y,State_ID
0,0,0,0,1,0,251006043,0.0,-157.255479125,21.1641088976,-157.25547_21.16410,56_25,25.0,56.0,starts_250,flk_2223,-157.262133087,21.1689271578,flk_2223_Maui
1,1,1,1,1,1,251007005,0.0,-157.254142285,21.1538548112,-157.25414_21.15385,68_25,25.0,68.0,starts_322,flk_2186,-157.266999888,21.1644609072,flk_2186_Maui
2,2,2,2,1,2,251007022,0.0,-157.275976886,21.1534174989,-157.27597_21.15341,69_18,18.0,69.0,starts_324,flk_2175,-157.279113417,21.157810264,flk_2175_Maui
3,3,3,3,1,3,251007042,0.0,-157.269728162,21.153726993,-157.26972_21.15372,68_20,20.0,68.0,starts_320,flk_2179,-157.274273366,21.160019067,flk_2179_Maui
4,4,4,4,1,4,251007044,0.0,-157.267805174,21.1534656779,-157.26780_21.15346,69_20,20.0,69.0,starts_326,flk_2179,-157.274273366,21.160019067,flk_2179_Maui
5,5,5,5,1,5,251007058,0.0,-157.26419327,21.160089564,-157.26419_21.16008,60_22,22.0,60.0,starts_280,flk_2186,-157.266999888,21.1644609072,flk_2186_Maui
6,6,6,6,1,6,252008032,0.0,-157.044752231,21.1017314514,-157.04475_21.10173,112_99,0.0,0.0,starts_383,flk_2037,-157.044020673,21.0965501211,flk_2037_Maui
7,7,7,7,1,7,252015057,0.0,-157.055376907,21.1694650338,-157.05537_21.16946,44_94,94.0,44.0,starts_141,flk_2420,-157.069283585,21.1894143496,flk_2420_Maui
8,8,8,8,1,8,252016052,0.0,-157.00678475,21.1606205263,-157.00678_21.16062,57_141,141.0,57.0,starts_267,flk_2076,-157.080047565,21.1014777791,flk_2076_Maui
9,9,9,9,1,9,252017038,0.0,-157.059742972,21.1760428794,-157.05974_21.17604,36_93,93.0,36.0,starts_69,flk_2397,-157.064498654,21.1871016988,flk_2397_Maui
10,10,10,10,1,10,252018046,0.0,-157.00499254,21.1647614968,-157.00499_21.16476,51_143,143.0,51.0,starts_194,flk_2467,-157.102897868,21.1965689513,flk_2467_Maui
11,11,11,11,1,11,252025016,0.0,-157.083666132,21.1770803977,-157.08366_21.17708,35_84,84.0,35.0,starts_59,flk_2449,-157.088482985,21.1941485114,flk_2449_Maui
12,12,12,12,1,12,252025017,0.0,-157.08394007,21.1759801625,-157.08394_21.17598,36_84,84.0,36.0,starts_66,flk_2448,-157.09089026,21.1941757344,flk_2448_Maui
13,13,13,13,1,13,252030008,0.0,-157.049350912,21.1658403444,-157.04935_21.16584,50_96,96.0,50.0,starts_184,flk_2418,-157.074097933,21.1894692967,flk_2418_Maui
14,14,14,14,1,14,252030023,0.0,-157.050643458,21.166619787,-157.05064_21.16661,49_96,96.0,49.0,starts_176,flk_2419,-157.071690757,21.1894418403,flk_2419_Maui
15,15,15,15,1,15,252030055,0.0,-157.051584618,21.1646506934,-157.05158_21.16465,52_96,96.0,52.0,starts_204,flk_2433,-157.081290334,21.1918090489,flk_2433_Maui
16,16,16,16,1,16,252032003,0.0,-157.034261712,21.0993862873,-157.03426_21.09938,112_105,0.0,0.0,starts_389,flk_2021,-157.036833466,21.0942091595,flk_2021_Maui
17,17,17,17,1,17,252032008,0.0,-157.033007675,21.1005801343,-157.03300_21.10058,112_106,0.0,0.0,starts_390,flk_2022,-157.034427882,21.0941812922,flk_2022_Maui
18,18,18,18,1,18,252032031,0.0,-157.034771647,21.1033405525,-157.03477_21.10334,111_104,0.0,0.0,starts_375,flk_2039,-157.039209412,21.0964945503,flk_2039_Maui
19,19,19,19,1,19,252032034,0.0,-157.033734937,21.1037571008,-157.03373_21.10375,111_105,0.0,0.0,starts_376,flk_2039,-157.039209412,21.0964945503,flk_2039_Maui
20,20,20,20,1,20,252032044,0.0,-157.03427013,21.1009743571,-157.03427_21.10097,112_104,0.0,0.0,starts_388,flk_2039,-157.039209412,21.0964945503,flk_2039_Maui
21,21,21,21,1,21,252032045,0.0,-157.034554412,21.1006395159,-157.03455_21.10063,112_104,0.0,0.0,starts_388,flk_2039,-157.039209412,21.0964945503,flk_2039_Maui
22,22,22,22,1,22,252033005,0.0,-157.03694111,21.1024827223,-157.03694_21.10248,111_103,0.0,0.0,starts_374,flk_2039,-157.039209412,21.0964945503,flk_2039_Maui
23,23,23,23,1,23,252033007,0.0,-157.037450927,21.1032093103,-157.03745_21.10320,111_102,0.0,0.0,starts_373,flk_2039,-157.039209412,21.0964945503,flk_2039_Maui
24,24,24,24,1,24,252033026,0.0,-157.037214887,21.0990723488,-157.03721_21.09907,113_102,0.0,0.0,starts_393,flk_2039,-157.039209412,21.0964945503,flk_2039_Maui
25,25,25,25,1,25,252033034,0.0,-157.038486473,21.1002059113,-157.03848_21.10020,112_102,0.0,0.0,starts_386,flk_2039,-157.039209412,21.0964945503,flk_2039_Maui
26,26,26,26,1,26,252033050,0.0,-157.040778828,21.1000242409,-157.04077_21.10002,112_100,0.0,0.0,starts_384,flk_2038,-157.041615041,21.0965223527,flk_2038_Maui
27,27,27,27,1,27,253007001,0.0,-157.016822693,21.0851426277,-157.01682_21.08514,119_133,0.0,0.0,,,,,
28,28,28,28,1,28,253007011,0.0,-157.015018509,21.0850695414,-157.01501_21.08506,119_135,0.0,0.0,starts_421,flk_1918,-157.01530333,21.0849270212,flk_1918_Maui
29,29,29,29,1,29,254004088,0.0,-156.9984956,21.0864382135,-156.99849_21.08643,118_152,0.0,0.0,starts_415,flk_1885,-157.000931371,21.0802425282,flk_1885_Maui
30,30,30,30,1,30,254006060,0.0,-156.987861123,21.076596747,-156.98786_21.07659,126_165,0.0,0.0,starts_493,flk_1869,-156.98656041,21.0755568864,flk_1869_Maui
31,31,31,31,1,31,254007016,0.0,-157.011026601,21.083538701,-157.01102_21.08353,120_139,0.0,0.0,starts_436,flk_1897,-157.010522585,21.082613144,flk_1897_Maui
32,32,32,32,1,32,254009025,0.0,-157.000713517,21.0826698009,-157.00071_21.08266,121_148,0.0,0.0,starts_451,flk_1884,-157.003336682,21.0802708527,flk_1884_Maui
33,33,33,33,1,33,254012026,0.0,-157.0026518,21.0818876312,-157.00265_21.08188,121_146,0.0,0.0,starts_449,flk_1884,-157.003336682,21.0802708527,flk_1884_Maui
34,34,34,34,1,34,254012032,0.0,-157.002791273,21.0826127746,-157.00279_21.08261,121_146,0.0,0.0,starts_449,flk_1884,-157.003336682,21.0802708527,flk_1884_Maui
35,35,35,35,0,35,254013014,0.0,-156.955605181,21.0668430514,-156.95560_21.06684, ,0.0,0.0,,,,,
36,36,36,36,1,36,254013018,0.0,-156.954472731,21.0674513943,-156.95447_21.06745,149_198,0.0,0.0,starts_617,flk_1830,-156.955416469,21.066153209,flk_1830_Maui
37,37,37,37,1,37,254014027,0.0,-156.941424001,21.0717665643,-156.94142_21.07176,136_222,0.0,0.0,starts_559,flk_1823,-156.943422487,21.0637505105,flk_1823_Maui
38,38,38,38,1,38,254014056,0.0,-156.934575136,21.0705678331,-156.93457_21.07056,140_231,0.0,0.0,starts_581,flk_1812,-156.936238777,21.06140553,flk_1812_Maui
39,39,39,39,1,39,254015014,0.0,-156.961436177,21.0745205532,-156.96143_21.07452,129_192,0.0,0.0,starts_519,flk_1842,-156.962600776,21.0684974193,flk_1842_Maui
40,40,40,40,1,40,254015019,0.0,-156.959189291,21.0763128158,-156.95918_21.07631,126_194,0.0,0.0,starts_499,flk_1842,-156.962600776,21.0684974193,flk_1842_Maui
41,41,41,41,1,41,254015028,0.0,-156.958771343,21.0744101969,-156.95877_21.07441,129_194,0.0,0.0,starts_520,flk_1843,-156.960195715,21.0684685328,flk_1843_Maui
42,42,42,42,1,42,254016014,0.0,-156.9690112,21.0796334564,-156.96901_21.07963,123_184,0.0,0.0,starts_472,flk_1852,-156.972190448,21.0708700967,flk_1852_Maui
43,43,43,43,1,43,254016025,0.0,-156.96718027,21.0718705358,-156.96718_21.07187,137_187,0.0,0.0,starts_564,flk_1854,-156.967380224,21.0708125553,flk_1854_Maui
44,44,44,44,1,44,254016031,0.0,-156.966225082,21.0752996465,-156.96622_21.07529,128_188,0.0,0.0,starts_510,flk_1854,-156.967380224,21.0708125553,flk_1854_Maui
45,45,45,45,0,45,254017001,0.0,-156.961633701,21.0681360645,-156.96163_21.06813, ,0.0,0.0,,,,,
46,46,46,46,0,46,254017015,0.0,-156.965131299,21.0689968611,-156.96513_21.06899, ,0.0,0.0,,,,,
47,47,47,47,0,47,254017018,0.0,-156.965862474,21.0691686101,-156.96586_21.06916, ,0.0,0.0,,,,,
48,48,48,48,1,48,254017029,0.0,-156.968010795,21.0702131005,-156.96801_21.07021,142_185,0.0,0.0,,,,,
49,49,49,49,1,49,254017030,0.0,-156.968857916,21.0704090927,-156.96885_21.07040,141_184,0.0,0.0,starts_584,flk_1853,-156.969785334,21.070841343,flk_1853_Maui
50,50,50,50,1,50,254017031,0.0,-156.969337097,21.070498931,-156.96933_21.07049,141_183,0.0,0.0,starts_583,flk_1853,-156.969785334,21.070841343,flk_1853_Maui
51,51,51,51,0,51,256001032,0.0,-156.832236115,21.0606874094,-156.83223_21.06068, ,0.0,0.0,,,,,
52,52,52,52,1,52,256004021,0.0,-156.8404646,21.058696512,-156.84046_21.05869,158_272,0.0,0.0,starts_652,flk_1797,-156.840110929,21.0556944164,flk_1797_Maui
53,53,53,53,1,53,256006027,0.0,-156.84418689,21.0650537117,-156.84418_21.06505,151_270,0.0,0.0,starts_636,flk_1797,-156.840110929,21.0556944164,flk_1797_Maui
54,54,54,54,0,54,257001060,0.0,-156.759440134,21.0969679296,-156.75944_21.09696, ,0.0,0.0,,,,,
55,55,55,55,0,55,257006002,0.0,-156.792437347,21.0756838808,-156.79243_21.07568, ,0.0,0.0,,,,,
56,56,56,56,0,56,257009002,0.0,-156.820134872,21.0659393131,-156.82013_21.06593, ,0.0,0.0,,,,,
57,57,57,57,0,57,257010076,0.0,-156.825310313,21.0621117882,-156.82531_21.06211, ,0.0,0.0,,,,,
58,58,58,58,0,58,258002071,0.0,-156.743320321,21.1112666349,-156.74332_21.11126, ,0.0,0.0,,,,,
59,59,59,59,1,59,251002036,900.0,-157.131945515,21.144227322,-157.13194_21.14422,88_68,68.0,88.0,starts_344,flk_2044,-157.123380335,21.0997050237,flk_2044_Maui
60,60,60,60,1,60,251002044,400.0,-157.257805957,21.1479159589,-157.25780_21.14791,84_24,24.0,84.0,starts_343,flk_2179,-157.274273366,21.160019067,flk_2179_Maui
61,61,61,61,1,61,251003011,19400.0,-157.246135832,21.1902878931,-157.24613_21.19028,20_28,28.0,20.0,starts_0,flk_2413,-157.249831896,21.1913810915,flk_2413_Maui
62,62,62,62,1,62,251004006,600.0,-157.20504469,21.1563758456,-157.20504_21.15637,64_42,42.0,64.0,starts_304,flk_2294,-157.254832339,21.1756262289,flk_2294_Maui
63,63,63,63,1,63,251004008,900.0,-157.208562065,21.1570360599,-157.20856_21.15703,63_41,41.0,63.0,starts_295,flk_2294,-157.254832339,21.1756262289,flk_2294_Maui
64,64,64,64,1,64,251004020,600.0,-157.219229951,21.1773825601,-157.21922_21.17738,37_37,37.0,37.0,starts_73,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
65,65,65,65,1,65,251004023,900.0,-157.210939878,21.1725311087,-157.21093_21.17253,42_40,40.0,42.0,starts_124,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
66,66,66,66,1,66,251004027,900.0,-157.208142182,21.166625641,-157.20814_21.16662,52_41,41.0,52.0,starts_196,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
67,67,67,67,1,67,251005001,600.0,-157.24633015,21.1831919436,-157.24633_21.18319,27_28,28.0,27.0,starts_13,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
68,68,68,68,1,68,251005003,600.0,-157.245873819,21.1831720788,-157.24587_21.18317,27_28,28.0,27.0,starts_13,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
69,69,69,69,1,69,251005005,800.0,-157.245437168,21.1831273723,-157.24543_21.18312,27_28,28.0,27.0,starts_13,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
70,70,70,70,1,70,251005012,800.0,-157.243896021,21.1832124341,-157.24389_21.18321,27_29,29.0,27.0,starts_14,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
71,71,71,71,1,71,251005016,1000.0,-157.243012908,21.1832299351,-157.24301_21.18322,27_29,29.0,27.0,starts_14,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
72,72,72,72,1,72,251006002,400.0,-157.224965678,21.1759302852,-157.22496_21.17593,38_35,35.0,38.0,starts_78,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
73,73,73,73,1,73,251006003,800.0,-157.225438269,21.1750687491,-157.22543_21.17506,39_35,35.0,39.0,starts_87,flk_2377,-157.249885072,21.186865486,flk_2377_Maui
74,74,74,74,1,74,251006007,600.0,-157.228361333,21.1729541042,-157.22836_21.17295,42_34,34.0,42.0,starts_123,flk_2353,-157.252345536,21.1823747877,flk_2353_Maui
75,75,75,75,1,75,251006008,600.0,-157.22915496,21.172329431,-157.22915_21.17232,42_34,34.0,42.0,starts_123,flk_2353,-157.252345536,21.1823747877,flk_2353_Maui
